,(1),(3),(6),(8),(10),(12)
,SPFCPI_FElvl,SPFPCE_FElvl,SPFCPI_Vardiff,SPFPCE_Vardiff,SPFCPI_Disgdiff,SPFPCE_Disgdiff
L.InfExp_FE,0.941***,1.195***,,,,
,(0.0840),(0.142),,,,
L2.InfExp_FE,-0.313**,-0.625**,,,,
,(0.116),(0.198),,,,
L3.InfExp_FE,0.114,0.0782,,,,
,(0.114),(0.196),,,,
L4.InfExp_FE,-0.137,-0.0162,,,,
,(0.0820),(0.131),,,,
L.InfExp_Var_ch,,,-0.855***,-0.565**,,
,,,(0.189),(0.162),,
L2.InfExp_Var_ch,,,-0.780**,-0.452*,,
,,,(0.220),(0.186),,
L3.InfExp_Var_ch,,,-0.556*,-0.429*,,
,,,(0.219),(0.189),,
L4.InfExp_Var_ch,,,-0.167,0.00385,,
,,,(0.188),(0.172),,
L.InfExp_Disg_ch,,,,,-0.571***,-0.640***
,,,,,(0.0699),(0.127)
L2.InfExp_Disg_ch,,,,,-0.376***,-0.0944
,,,,,(0.0764),(0.141)
L3.InfExp_Disg_ch,,,,,-0.0455,0.180
,,,,,(0.0661),(0.138)
L4.InfExp_Disg_ch,,,,,-0.110*,-0.0364
,,,,,(0.0479),(0.123)
_cons,0.0964,0.116,0.00555,0.00351,-0.0311,-0.0227
,(0.0639),(0.0929),(0.00545),(0.00420),(0.0269),(0.0146)
N,143,41,44,44,146,44
R-sq,0.593,0.750,0.384,0.322,0.356,0.496
Standard errors in parentheses,,,,,,
"=""* p<0.05", ** p<0.01,,,,,