,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
,SPFCPIMeanrvlv1,SPFCPIMeanrvlv2,SPFCPIMeanrvlv3,SPFPCEMeanrvlv1,SPFPCEMeanrvlv2,SPFPCEMeanrvlv3,SPFCPIVarrvlv1,SPFCPIVarrvlv2,SPFCPIVarrvlv3,SPFPCEVarrvlv1,SPFPCEVarrvlv2,SPFPCEVarrvlv3
L.InfExp_Mean,-0.217*,-0.180,-0.205,13.72,0.0472,0.0932,,,,,,
,(0.107),(0.177),(0.205),(21.546),(0.045),(0.049),,,,,,
L2.InfExp_Mean,,-0.122,-0.110,,-0.000618,-0.0368,,,,,,
,,(0.175),(0.228),,(0.045),(0.055),,,,,,
L3.InfExp_Mean,,,-0.0637,,,-0.0306,,,,,,
,,,(0.205),,,(0.049),,,,,,
L.InfExp_Var,,,,,,,0.500***,0.983***,0.983***,-0.0921,0.00000773***,0.00000773***
,,,,,,,(0.015),(0.006),(0.006),(3.072),(0.000),(0.000)
L2.InfExp_Var,,,,,,,,-0.967***,-0.967***,,-0.000000446,-0.000000445
,,,,,,,,(0.008),(0.009),,(0.000),(0.000)
L3.InfExp_Var,,,,,,,,,-0.000470,,,-0.000000437
,,,,,,,,,(0.006),,,(0.000)
_cons,1.153***,1.311***,1.463***,-37.76,0.656***,0.688***,-0.0444,-0.0838,-0.117,10270.3,0.0529***,0.0528***
,(0.232),(0.275),(0.324),(42.057),(0.060),(0.067),(0.338),(0.103),(0.127),(1.0e+04),(0.005),(0.005)
N,1360,1216,1086,1132,977,849,1219,977,792,1110,874,691
pvtest,1.20e-28,4.26e-11,5.92e-09,0.555,1.74e-81,7.70e-65,0.896,0.417,0.358,0.318,2.54e-23,6.24e-25
r2,0.00301,0.00461,0.00607,0.000359,0.00264,0.00447,0.493,0.970,0.970,0.000000812,0.0354,0.0612
Standard errors in parentheses,,,,,,,,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,,,,,,,